Jogador; Inscricao; Contrato; N; Inicio; Nascimento; dt_inscricao; clube
Mauricio Donizeti Ramos Junior;  169728;  Contrato Definitivo ;  ;  30/04/2003;  10/04/1985;  30/04/2003 00:00:00; Confronto Temp. / 00
Adriano Bispo dos Santos;  175513;  Contrato Definitivo ;  ;  30/04/2003;  29/05/1987;  30/04/2003 00:00:00; Cbf - Atleta Sem Clube / 00
Alex Moco Siqueira;  134414;  Contrato Definitivo ;  00434840;  16/04/2003;  21/06/1977;  30/04/2003 00:00:00; Bonsucesso Futebol Clube / RJ
Eduardo Soares de Oliveira;  186014;  Contrato Definitivo ;  ;  30/04/2003;  28/01/1987;  30/04/2003 00:00:00; Cbf - Atleta Sem Clube / 00
Josenilton Francisco Marques;  151119;  Contrato Definitivo ;  00422138;  22/04/2003;  17/11/1977;  30/04/2003 00:00:00; Sport Clube Camacariense / BA
Marinho Alves Santos Neto;  132801;  Contrato Definitivo ;  00437923;  11/04/2003;  09/09/1977;  30/04/2003 00:00:00; Primeiro de Maio Esporte Clube / PE
Alex Moco Siqueira;  134414;  Vinculo Encerrado ;  18818;  ;  21/06/1977;  30/04/2003 00:00:00; Bonsucesso Futebol Clube / RJ
Sidnei Sciola Moraes;  174379;  Vinculo Encerrado ;  63682003;  29/04/2003;  02/11/1986;  29/04/2003 00:00:00; Mirassol / SP
Felipe Melo de Carvalho;  150801;  Contrato Emprestimo ;  423316;  29/04/2003;  26/06/1983;  29/04/2003 00:00:00; Cruzeiro / MG
Cidimar Aparecido de Souza;  152661;  Contrato Definitivo ;  00451889;  01/04/2003;  26/09/1982;  29/04/2003 00:00:00; Boa / MG
Sandro Santos Mota;  136604;  Contrato Definitivo ;  00434553;  20/02/2003;  05/08/1978;  29/04/2003 00:00:00; Cuiabá / MT
Renato Lopes Amancio;  162018;  Contrato Definitivo ;  00421376;  01/04/2003;  07/03/1983;  29/04/2003 00:00:00; Tanabi Ec / SP
Leonardo Luiz Ferreira Silva;  157642;  Contrato Definitivo ;  00411163;  23/01/2003;  07/09/1983;  29/04/2003 00:00:00; Sergipe / SE
Cidimar Aparecido de Souza;  152661;  Vinculo Encerrado ;  19309;  ;  26/09/1982;  29/04/2003 00:00:00; Paranaiguara / GO
Sandro Santos Mota;  136604;  Vinculo Encerrado ;  18869;  ;  05/08/1978;  29/04/2003 00:00:00; Esporte Clube Itapiruna / SP
Fabio Junior dos Santos;  142035;  Contrato Emprestimo ;  ;  28/04/2003;  06/10/1982;  28/04/2003 00:00:00; Internacional / RS
Jackson Valdo Pereira da Silva;  152633;  Contrato Definitivo ;  00422193;  01/04/2003;  12/04/1981;  28/04/2003 00:00:00; Grapiuna / BA
Roger de Carvalho;  184174;  Vinculo Encerrado ;  485229;  ;  10/12/1986;  28/04/2003 00:00:00; Iraty Sc / PR
Marcelo Constantino Goncalves;  162618;  Contrato Definitivo ;  00360128;  26/12/2002;  21/03/1983;  28/04/2003 00:00:00; Vasco da Gama / RJ
Ednei Lima da Silva;  162581;  Contrato Definitivo ;  00415646;  10/03/2003;  13/07/1979;  28/04/2003 00:00:00; Operário Futebol Clube / MS
Wagner Victorio Carrapeira;  162577;  Contrato Definitivo ;  00447496;  10/03/2003;  30/09/1983;  28/04/2003 00:00:00; Operário Futebol Clube / MS
Ailon Leandro Soares;  162388;  Contrato Definitivo ;  00440270;  08/04/2003;  16/11/1985;  28/04/2003 00:00:00; Crb / AL
Reginaldo Andre de Campos;  159530;  Contrato Definitivo ;  00432301;  28/03/2003;  16/08/1984;  28/04/2003 00:00:00; Fernandopolis / SP
Kurt Davi Goulart Brum;  155974;  Contrato Definitivo ;  00410858;  03/04/2003;  30/01/1982;  28/04/2003 00:00:00; Estanciano / SE
Mauricio Guerra Marinho;  151617;  Contrato Definitivo ;  00432304;  28/03/2003;  18/02/1982;  28/04/2003 00:00:00; Fernandopolis / SP
Joelson Morais Santos;  113721;  Contrato Definitivo ;  00453766;  15/04/2003;  24/10/1973;  28/04/2003 00:00:00; Estanciano / SE
Jackson Valdo Pereira da Silva;  152633;  Vinculo Encerrado ;  19304;  ;  12/04/1981;  28/04/2003 00:00:00; Grapiuna / BA
Jorge Pereira da Silva;  162621;  Contrato Definitivo ;  00428846;  08/04/2003;  04/12/1985;  28/04/2003 00:00:00; Bahia / BA
Raphael Pires Nogueira;  187620;  Vinculo Encerrado ;  549634;  ;  06/04/1990;  25/04/2003 00:00:00; Everest / RJ
Cassio Antonio Ferreira Lopes;  162465;  Contrato Definitivo ;  00423332;  10/03/2003;  20/06/1983;  25/04/2003 00:00:00; Uberlândia / MG
Elias Pereira da Silva;  162413;  Contrato Definitivo ;  00409961;  06/03/2003;  20/07/1976;  25/04/2003 00:00:00; Tocantins Fc / TO
Jeferson dos Santos Ferreira;  144422;  Contrato Definitivo ;  00432299;  28/03/2003;  02/08/1981;  25/04/2003 00:00:00; Fernandopolis / SP
Sergio Leite de Oliveira;  162522;  Contrato Definitivo ;  00421443;  03/03/2003;  08/01/1986;  25/04/2003 00:00:00; Esporte Clube Uniao Suzano / SP
Bernardo Amorim Lazaroni;  162489;  Contrato Definitivo ;  00435315;  01/04/2003;  17/11/1983;  25/04/2003 00:00:00; Bangu / RJ
Averiano Dias Ferreira;  162440;  Contrato Definitivo ;  00409911;  13/03/2003;  08/06/1982;  25/04/2003 00:00:00; Interporto / TO
Wesley Dias da Silva;  162439;  Contrato encerrado ;  00409905;  13/03/2003;  12/02/1981;  25/04/2003 00:00:00; Interporto / TO
